FID,depno,distrito_minero,nombres,modelo,cod_modelo,tamaño,edad_inf_min,edad_sup_min,estilo_min,asoc_min,alt_hidrotermal,unid_estrati_caja,lito_caja,edad_inf_caja,edad_sup_caja,recursos_min,ley_min,commodity,ficha,etiqueta,geometry
e250K.DepositMetalif.21134,24732,,Vizcachani Norte,12a Au,12a,pequeño,,,,oro,,,arena-grava,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24732.html,Vizcachani Norte,POINT (-65.1332999999999 -22.128199999999936)
e250K.DepositMetalif.19631,11079,,La Estanzuela-La Viquita,03a Pegmatitas Complejas(Be-Li-Aguamarina),3a,pequeño,,,lentes,espodumeno | lepidolita | cuarzo | montebrasita | ambligonita | litiofilita | trifilina | moscovita | microclino | albita | berilo | columbita | tantalita | tapiolita | casiterita | circón | apatita | wodginita,arcillosa avanzada,,suite granítica,,,,,Li,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11079.html,La Estanzuela,POINT (-65.11099999999993 -32.85689999999994)
e250K.DepositMetalif.17297,2170,,La Generosa,06g Fe asociado a Granitoides (Fe),6g,ocurrencia,,,vetiforme,hematita | galena | pirolusita | cuarzo,,Granito Cacheuta,granito,,,,,Fe,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2170.html,La Generosa,POINT (-69.11669999999992 -32.966699999999946)
e250K.DepositMetalif.22321,25919,Purísima Rumicruz,La Nueva,14a Polimetálicos ricos en As-Ni-Co (Ag-Co-As-Ni-Cu-U),14a,pequeño,Triásico,Triásico,,calcosina | bornita | covellina | gersdorfita | cuarzo,,,arenisca-lutita-chert,,,,,Cu | Ni,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp25919.html,La Nueva,POINT (-65.53809999999993 -22.817399999999907)
e250K.DepositMetalif.22314,25912,,La Chinchilla,06c Granitoides (U),6c,,,,,uraninita | coffinita | coronadita,,,,,,,,U-Nb-Ta,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp25912.html,La Chinchilla,POINT (-29.171799999999905 -66.96329999999995)
e250K.DepositMetalif.17290,2163,Agua Escondida,La Jacinta,07a Manganeso (Mn+-F),7a,ocurrencia,,,vetiforme,pirolusita | óxidos de hierro,argílica | sericítica | silicificación,Formación Choique Mahuida,riolita,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2163.html,La Jacinta,POINT (-68.31919999999991 -35.20389999999992)
e250K.DepositMetalif.17468,103,La Poma,California,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,,Mioceno,Mioceno,vetiforme,galena | argentita | tetraedrita,,Formación Agua Caliente,rocas volcánicas félsicas,,,,,Pb | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp103.html,California,POINT (-66.49349999999993 -24.268299999999954)
e250K.DepositMetalif.21965,25563,Cacheuta,Trinidad,06c Granitoides (U),6c,,,,,minerales oxidados de U | minerales oxidados de cobre,,,suite granítica/tonalítica-gábrica,,,,,U,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp25563.html,Trinidad,POINT (-69.0843999999999 -33.03639999999996)
e250K.DepositMetalif.18406,5001,La Estanzuela,La Mirtine,03b Pegmatitas (Nb-Ta),3b,desconocida,,,pegmatítico,casiterita,,Basamento cristalino | Basamento cristalino | Basamento cristalino,esquisto | migmatitas | gneis,,,"6000 tonelada métrica, mineral, inferida",SnO2 0.61 % | Nb 150 ppm | Ta 200 ppm,Sn | Nb | Ta,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5001.html,La Mirtine,POINT (-65.11669999999992 -32.86669999999992)
e250K.DepositMetalif.18584,5180,,Filo Cuevas Blancas,07d Polimetálico rico en Sn (Sn-Ag-Cu-Zn),7d,desconocida,Plioceno,Plioceno,vetiforme,casiterita,,,,,,,,Sn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5180.html,Filo Cuevas Blancas,POINT (-66.86669999999992 -22.566699999999912)
